domain,entropy
diaryofagameaddict.com,3.51602764126623
espdesign.com.au,3.625
iamagameaddict.com,3.12798680687768
kalantzis.net,3.23890125660263
slightlyoffcenter.net,3.653756708287
tubemoviez.com,3.37878349348618
ipl.hk,2.58496250072116
crackspider.us/toolbar/install.php?pack=exe,4.22220806840402
pos-kupang.com/,3.64022392894185
rupor.info,2.92192809488736
svision-online.de/mgfi/administrator/components/com_babackup/classes/fx29id1.txt,4.42434731522706
officeon.ch.ma/office.js?google_ad_format=728x90_as,4.45401425398291
sn-gzzx.com,3.27761343681912
sunlux.net/company/about.html,3.95230297766239
outporn.com,3.02716911844062
timothycopus.aimoo.com,3.35195307424638
xindalawyer.com,3.77355726227519
freeserials.spb.ru/key/68703.htm,4.24172929667218
deletespyware-adware.com,3.65310716836281
orbowlada.strefa.pl/text396.htm,4.13130034250536
ruiyangcn.com,3.39274741044878
zkic.com,2.75
adserving.favorit-network.com/eas?camp=19320;cre=mu&grpid=1738&tag_id=618&nums=FGApbjFAAA,5.05575819001196
cracks.vg/d1.php,3.625
juicypussyclips.com,3.32636040795269
nuptialimages.com,3.73452166477975
bezproudoff.cz,3.37878349348618
ceskarepublika.net,3.68354236243323
hotspot.cz,2.92192809488736
www.gmcjjh.org/DHL,3.57243125132212
nerez-schodiste-zabradli.com,3.99468036840891
nordiccountry.cz,3.32781953111478
nowina.info,2.66353275480425
obada-konstruktiwa.org,3.75444184571335
otylkaaotesanek.cz,3.46132014021101
pb-webdesign.net,3.45281953111478
pension-helene.cz,3.33717534112308
podzemi.myotis.info,3.53688672374217
smrcek.com,2.92192809488736
spekband.com,3.58496250072116
m2132.ehgaugysd.net/zyso.cgi?18,4.32484872960214
webcom-software.ws/links/?153646e8b0a88,4.54131119299933
worldgymperu.com,3.625
zgsysz.com,2.92192809488736
oknarai.ru,2.92192809488736
www.realinnovation.com/css/menu.js,3.9398290174664
hardcorepornparty.com,3.49922754172336
zous.szm.sk,2.66353275480425
noveslovo.com,2.93120894891032
dimsnetwork.com,3.64022392894185
luckyblank.info,3.50689059560852
luckyclean.info,3.50689059560852
luckyclear.info,3.64022392894185
luckyeffect.info,3.45281953111478
luckyhalo.info,3.52164063634332
luckypure.info,3.66449777920046
luckyshine.info,3.64022392894185
luckysuccess.info,3.41041725276052
luckysure.info,3.66449777920046
luckytidy.info,3.52164063634332
nudebeachgalleries.net,3.65899341525381
buffalogoesout.com,3.50325833477565
achren.org,3.12192809488736
associatesexports.com,3.40398944648526
antalya.ru/links/,3.45482239994661
conds.ru,3
img001.com/business/qiji.exe,3.89629152904593
unalbilgisayar.com,3.68354236243323
www.t-sb.net,2.85538854220753
hanulsms.com,3.25162916738782
semengineers.com,3.125
srslogisticts.com,3.1462863706621
tendersource.com,3.32781953111478
traff1.com/in.cgi?5,3.82687488186464
web-olymp.ru,3.58496250072116
oprahsearch.com/scripts/net19.exe,3.94546495249511
oprahsearch.com/scripts/brez251.exe,4.05757515967848
rl8vd.kikul.com/ci7ka5t2ue,4.13294404498096
sbnc.hak.su/spread.txt,3.84535093662244
somnoy.com,2.64643934467102
incoctel.cl/8RHFBgK4.php?html=27,4.45281953111478
incoctel.cl/8RHFBgK4.php?id=23694557,4.70451145971555
nadegda-95.ru,3.39274741044878
romsigmed.ro,3.08496250072116
spatsz.com,3.12192809488736
svetyivanrilski.com,3.78714396069814
titon.info,2.52192809488736
tophostbg.net,3.18083298720544
vivaweb.org,3.27761343681912
vocational-training.us,3.6292196865241
warco.pl,3
bde.be,1.91829583405449
pwvita.pl,2.94770277922009
roks.ua,2.8073549220576
skgroup.kiev.ua,3.50689059560852
tecnocuer.com,3.02698683335929
tk-gregoric.si,3.37878349348618
tomalinoalambres.com.ar,3.5013978254341
vipdn123.blackapplehost.com,4.20841018726852
womenslabour.org,3.57781953111478
wroclawski.com.pl,3.49922754713269
xoomer.alice.it/email02/bom.jpg,3.99373058423148
www.propan.ru/forum/downloads.php,3.7259160889243
firehouse651.com/gallery/images/copyright.txt,4.32453476270788
www.freewebtown.com/atakus/Nokia/BotNetNew.txt,3.96598064101909
webcashmaker.com/v2/members/trade_traffic.php,4.1780883079127
sentrol.cl/components/kampret.jpg,3.89971419478823
www.kjbbc.net/bbs/data/gallery/1207290228/inbox.txt,4.42764213696436
www.torgi.kz/help/id2.txt,3.91326968951511
www.torgi.kz/help/idxx.txt,3.81507241011594
www.uriyuri.com/bbs/skin/zero_vote/1.txt,4.20869496956284
www.usaenterprise.com/images/images.txt,3.89722361662077
www.wigglewoo.com/portfolio/contests/contest-006.png,3.99844945921767
xorgwebs.webs.com/stx.1,3.67531086891236
plengeh.wen.ru/id.txt,3.7489948035251
wahyufian.zoomshare.com/files/bot.txt,4.22932735194002
www.hospedar.xpg.com.br/nome.txt,3.96501826628863
dl.heima8.com/pv/dl.htm?adid=20132&sid=0211,4.32430945271944
update.51edm.net/20090728/01.dll,3.99172929667217
update.51edm.net/20090728/01.kdg,4.05422929667218
www.xiruz.kit.net/mola.jpg,4.05602096805788
wfoto.front.ru/fotos.com,3.2610276044371
ska.energia.cz/download/imer.up,4.10694913275815
www.obyz.de/webproxytest.txt,3.61057724333164
callingcardsinstantly.com/webalizer/050709wareza/crack=17=keygen=serial.html,4.48459503359694
dawnframing.com/webalizer/050709wareza/crack=17=keygen=serial.html,4.5358352185609
free-crochet-pattern.com/webalizer/050709wareza/crack=17=keygen=serial.html,4.50868894528662
js.tongji.linezing.com/1189582/tongji.js,4.03418371977919
www.oiluk.net/cache/cache_94afbfb2f291e0bf253fcf222e9d238e_180836f9b956ab9d91a50f9add968699,4.40099792890465
