"","domain","entropy"
"1","diaryofagameaddict.com",3.51602764126623
"2","espdesign.com.au",3.625
"3","iamagameaddict.com",3.12798680687768
"4","kalantzis.net",3.23890125660263
"5","slightlyoffcenter.net",3.653756708287
"6","tubemoviez.com",3.37878349348618
"7","ipl.hk",2.58496250072116
"8","crackspider.us/toolbar/install.php?pack=exe",4.22220806840402
"9","pos-kupang.com/",3.64022392894185
"10","rupor.info",2.92192809488736
"11","svision-online.de/mgfi/administrator/components/com_babackup/classes/fx29id1.txt",4.42434731522706
"12","officeon.ch.ma/office.js?google_ad_format=728x90_as",4.45401425398291
"13","sn-gzzx.com",3.27761343681912
"14","sunlux.net/company/about.html",3.95230297766239
"15","outporn.com",3.02716911844062
"16","timothycopus.aimoo.com",3.35195307424638
"17","xindalawyer.com",3.77355726227519
"18","freeserials.spb.ru/key/68703.htm",4.24172929667218
"19","deletespyware-adware.com",3.65310716836281
"20","orbowlada.strefa.pl/text396.htm",4.13130034250536
"21","ruiyangcn.com",3.39274741044878
"22","zkic.com",2.75
"23","adserving.favorit-network.com/eas?camp=19320;cre=mu&grpid=1738&tag_id=618&nums=FGApbjFAAA",5.05575819001196
"24","cracks.vg/d1.php",3.625
"25","juicypussyclips.com",3.32636040795269
"26","nuptialimages.com",3.73452166477975
"27","bezproudoff.cz",3.37878349348618
"28","ceskarepublika.net",3.68354236243323
"29","hotspot.cz",2.92192809488736
"30","www.gmcjjh.org/DHL",3.57243125132212
"31","nerez-schodiste-zabradli.com",3.99468036840891
"32","nordiccountry.cz",3.32781953111478
"33","nowina.info",2.66353275480425
"34","obada-konstruktiwa.org",3.75444184571335
"35","otylkaaotesanek.cz",3.46132014021101
"36","pb-webdesign.net",3.45281953111478
"37","pension-helene.cz",3.33717534112308
"38","podzemi.myotis.info",3.53688672374217
"39","smrcek.com",2.92192809488736
"40","spekband.com",3.58496250072116
"41","m2132.ehgaugysd.net/zyso.cgi?18",4.32484872960214
"42","webcom-software.ws/links/?153646e8b0a88",4.54131119299933
"43","worldgymperu.com",3.625
"44","zgsysz.com",2.92192809488736
"45","oknarai.ru",2.92192809488736
"46","www.realinnovation.com/css/menu.js",3.9398290174664
"47","hardcorepornparty.com",3.49922754172336
"48","zous.szm.sk",2.66353275480425
"49","noveslovo.com",2.93120894891032
